Traditional Unionist Voice - TUV,northern-ireland,Jim Allister,"","","","","",""
Sinn Fein,northern-ireland,Martina Anderson,"","","","","",""
SDLP (Social Democratic & Labour Party),northern-ireland,Alex Attwood,"","","","","",""
NI Conservatives,northern-ireland,Mark Brotherston,MARK BROTHERSTON,secretary,SMART IMAGE MEDIA LTD,NI051507,gb,https://opencorporates.com/companies/gb/NI051507
NI Conservatives,northern-ireland,Mark Brotherston,MARK BROTHERSTON,secretary,MIS BUSINESS CONSULTANCY LIMITED,NI048051,gb,https://opencorporates.com/companies/gb/NI048051
NI Conservatives,northern-ireland,Mark Brotherston,MARK BROTHERSTON,director,BROTHERSTON LIMITED,07349101,gb,https://opencorporates.com/companies/gb/07349101
NI Conservatives,northern-ireland,Mark Brotherston,MARK BROTHERSTON,secretary,BELGRAVIA BUSINESS CONSULTANCY LIMITED,NI048050,gb,https://opencorporates.com/companies/gb/NI048050
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,secretary,WHITEBOARD LTD,NI050884,gb,https://opencorporates.com/companies/gb/NI050884
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,BELFAST SHEETMETAL LTD,NI067663,gb,https://opencorporates.com/companies/gb/NI067663
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,SMART IMAGE MEDIA LTD,NI051507,gb,https://opencorporates.com/companies/gb/NI051507
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,AA VETERANS SUPPORT,NI607703,gb,https://opencorporates.com/companies/gb/NI607703
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,BELGRAVIA BUSINESS CONSULTANCY LIMITED,NI048050,gb,https://opencorporates.com/companies/gb/NI048050
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,KOKA CHOCOLATE LTD,NI612489,gb,https://opencorporates.com/companies/gb/NI612489
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,WWW.SONICMOUSE.COM LIMITED,NI062142,gb,https://opencorporates.com/companies/gb/NI062142
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,1-ABILITY LTD,NI054027,gb,https://opencorporates.com/companies/gb/NI054027
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,AB-FAB ENGINEERING LIMITED,NI052142,gb,https://opencorporates.com/companies/gb/NI052142
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,GREATER SHANKILL BUSINESS COMMUNITY FORUM,NI072205,gb,https://opencorporates.com/companies/gb/NI072205
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,WEST BELFAST & GREATER SHANKILL ENTERPRISE COUNCIL,NI061845,gb,https://opencorporates.com/companies/gb/NI061845
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,WHITEBOARD LTD,NI050884,gb,https://opencorporates.com/companies/gb/NI050884
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,BELGRAVIA BUSINESS CONSULTANCY LIMITED,NI048050,gb,https://opencorporates.com/companies/gb/NI048050
NI Conservatives,northern-ireland,Mark Brotherston,MARK DR BROTHERSTON,director,ARGYLE BUSINESS CENTRE,NI024698,gb,https://opencorporates.com/companies/gb/NI024698
