UK Independence Party (UKIP),south-west,Keith Montgomery Crawford,KEITH MONTGOMERY CRAWFORD,director,MONKTON COURT LIMITED,02195782,gb,https://opencorporates.com/companies/gb/02195782
UK Independence Party (UKIP),south-west,Keith Montgomery Crawford,KEITH MONTGOMERY CRAWFORD,director,MONKTON COURT LIMITED,05659499,gb,https://opencorporates.com/companies/gb/05659499
UK Independence Party (UKIP),south-west,Keith Montgomery Crawford,KEITH MONTGOMERY CRAWFORD,director,FRIERNHAY PROPERTY MANAGEMENT LIMITED,03050043,gb,https://opencorporates.com/companies/gb/03050043
UK Independence Party (UKIP),south-west,Keith Montgomery Crawford,SIMON KEITH MONTGOMERY CRAWFORD,director,MONKTON COURT LIMITED,02195782,gb,https://opencorporates.com/companies/gb/02195782
UK Independence Party (UKIP),south-west,Keith Montgomery Crawford,SIMON KEITH MONTGOMERY CRAWFORD,secretary,MONKTON COURT LIMITED,02195782,gb,https://opencorporates.com/companies/gb/02195782
UK Independence Party (UKIP),south-west,Robert Lee Smith,GREGORY ROBERT LEE SMITH,director,IMAGE SENSING SYSTEMS HOLDINGS LIMITED,07268542,gb,https://opencorporates.com/companies/gb/07268542
UK Independence Party (UKIP),south-west,Robert Lee Smith,GREGORY ROBERT LEE SMITH,director,IMAGE SENSING SYSTEMS UK LIMITED,03791347,gb,https://opencorporates.com/companies/gb/03791347
UK Independence Party (UKIP),south-west,Robert Lee Smith,GREGORY ROBERT LEE SMITH,director,IMAGE SENSING SYSTEMS UK LIMITED,03791347,gb,https://opencorporates.com/companies/gb/03791347
UK Independence Party (UKIP),south-west,Robert Lee Smith,GREGORY ROBERT LEE SMITH,secretary,IMAGE SENSING SYSTEMS EUROPE LIMITED,05148882,gb,https://opencorporates.com/companies/gb/05148882
UK Independence Party (UKIP),south-west,Robert Lee Smith,GREGORY ROBERT LEE SMITH,director,IMAGE SENSING SYSTEMS EUROPE LIMITED,05148882,gb,https://opencorporates.com/companies/gb/05148882
UK Independence Party (UKIP),south-west,Robert Lee Smith,LEE ROBERT SMITH,director,STRATTON CREBER LIMITED,05245807,gb,https://opencorporates.com/companies/gb/05245807
UK Independence Party (UKIP),south-west,Robert Lee Smith,LEE ROBERT SMITH,director,"ENVIROGEN, TYRE & RUBBER REPROCESSORS LIMITED",02757613,gb,https://opencorporates.com/companies/gb/02757613
UK Independence Party (UKIP),south-west,Robert Lee Smith,LEE ROBERT SMITH,director,S.W. ENVIRONMENTAL LIMITED,04584260,gb,https://opencorporates.com/companies/gb/04584260
UK Independence Party (UKIP),south-west,Robert Lee Smith,LEE ROBERT SMITH,director,PRISM ENVIRONMENTAL SOLUTIONS LTD,07359002,gb,https://opencorporates.com/companies/gb/07359002
UK Independence Party (UKIP),south-west,Robert Lee Smith,LEE ROBERT SMITH,director,LRS GROUNDWORKS LIMITED,07616582,gb,https://opencorporates.com/companies/gb/07616582
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,SENS-ABILITY LIMITED,04060034,gb,https://opencorporates.com/companies/gb/04060034
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,LBA LOGISTICS LTD,07802951,gb,https://opencorporates.com/companies/gb/07802951
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,LAROBRI COMPUTERS LTD,04478761,gb,https://opencorporates.com/companies/gb/04478761
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,DOWNTOWN BUSINESS SOLUTIONS LIMITED,03392489,gb,https://opencorporates.com/companies/gb/03392489
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,secretary,ROBERT SMITH LIMITED,04059815,gb,https://opencorporates.com/companies/gb/04059815
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,ROBERT SMITH LIMITED,04059815,gb,https://opencorporates.com/companies/gb/04059815
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,PLACE2BE,02876150,gb,https://opencorporates.com/companies/gb/02876150
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,secretary,SENS-ABILITY LIMITED,04060034,gb,https://opencorporates.com/companies/gb/04060034
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,secretary,SOUTH WEST PLUMBING AND HEATING LIMITED,03758255,gb,https://opencorporates.com/companies/gb/03758255
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,secretary,GRACECHURCH UTG NO. 20 LIMITED,03644075,gb,https://opencorporates.com/companies/gb/03644075
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,GRACECHURCH UTG NO. 20 LIMITED,03644075,gb,https://opencorporates.com/companies/gb/03644075
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH,director,THE NATIONAL LITERACY TRUST,05836486,gb,https://opencorporates.com/companies/gb/05836486
